,Name,Header,token
72,hmr, End-to-end Recovery of Human Shape and Pose,end-to-end recoveri human shape pose 
73,hmr, Requirements,requir 
74,hmr, Installation,instal 
75,hmr, Linux Setup with virtualenv,linux setup virtualenv 
76,hmr, Install TensorFlow,instal tensorflow 
77,hmr, Windows Setup with python 3 and Anaconda,window setup python 3 anaconda 
78,hmr, if you need to get chumpy ,need get chumpi 
79,hmr, Demo,demo 
80,hmr, Webcam Demo (thanks @JulesDoe!),webcam demo ( thank @ julesdo ! ) 
81,hmr, Training code/data,train code/data 
82,hmr, Citation,citat 
83,hmr, Opensource contributions,opensourc contribut 
84,apsg, APSG - python package for structural geologists,apsg - python packag structur geologist 
85,apsg, Installation,instal 
86,apsg, PyPI,pypi 
87,apsg, Upgrading via pip,upgrad via pip 
88,apsg, Installing APSG from the source distribution,instal apsg sourc distribut 
89,apsg, Conda,conda 
90,apsg, Current release info,current releas info 
91,apsg, Installing apsg,instal apsg 
92,apsg, Master version,master version 
93,apsg, Getting started,get start 
94,apsg, Documentation,document 
95,apsg, Contributing,contribut 
96,apsg, Donate,donat 
97,apsg, License,licens 
98,mplleaflet, mplleaflet,mplleaflet 
99,mplleaflet, Examples,exampl 
100,mplleaflet, Basic usage,basic usag 
101,mplleaflet, IPython Notebook embedding,ipython notebook embed 
102,mplleaflet, Other examples,other exampl 
103,mplleaflet, Why mplleaflet?,whi mplleaflet ? 
104,mplleaflet, Installation,instal 
105,mplleaflet, Development,develop 
106,mplleaflet, Dependencies,depend 
107,pylops, Objective,object 
108,pylops, Project structure,project structur 
109,pylops, Getting started,get start 
110,pylops, From PyPi,from pypi 
111,pylops, From Conda-forge,from conda-forg 
112,pylops, From Docker,from docker 
113,pylops, Contributing,contribut 
114,pylops, 1. Fork and clone the repository,1 . fork clone repositori 
115,pylops, 2. Install PyLops in a new Conda environment,2 . instal pylop new conda environ 
116,pylops, Documentation,document 
117,pylops, History,histori 
118,pylops, Contributors,contributor 
119,tensorflow-magenta, Getting Started,get start 
120,tensorflow-magenta, Installation,instal 
121,tensorflow-magenta, Automated Install (w/ Anaconda),autom instal ( w/ anaconda ) 
122,tensorflow-magenta, Manual Install (w/o Anaconda),manual instal ( w/o anaconda ) 
123,tensorflow-magenta, GPU Installation,gpu instal 
124,tensorflow-magenta, Using Magenta,use magenta 
125,tensorflow-magenta, Playing a MIDI Instrument,play midi instrument 
126,tensorflow-magenta, Development Environment,develop environ 
127,tensorflow-magenta, PIP Release,pip releas 
128,facebookresearch-wav2letter, wav2letter++,wav2letter++ 
129,facebookresearch-wav2letter, Building wav2letter++,build wav2letter++ 
130,facebookresearch-wav2letter, Full documentation,full document 
131,facebookresearch-wav2letter, Citation,citat 
132,facebookresearch-wav2letter, Join the wav2letter community,join wav2lett commun 
133,facebookresearch-wav2letter, License,licens 
134,omfvista, Grab a few elements of interest and plot em up!,grab element interest plot em ! 
135,omfvista, Grab the active plotting window,grab activ plot window 
136,omfvista,  from the thresher tool,thresher tool 
137,omfvista, Add our datasets,add dataset 
138,omfvista, Add the bounds axis,add bound axi 
139,PRM, PyTorch Implementation,pytorch implement 
140,PRM, Prerequisites,prerequisit 
141,PRM, Installation,instal 
142,PRM, Run demo,run demo 
143,PRM, Citation ,citat 
144,GAN_stability, GAN stability,gan stabil 
145,GAN_stability, Usage,usag 
146,GAN_stability, Notes,note 
147,GAN_stability, Results,result 
148,GAN_stability, celebA-HQ,celeba-hq 
149,GAN_stability, Imagenet,imagenet 
150,d3, D3: Data-Driven Documents,D3 : data-driven document 
151,d3, Resources,resourc 
152,d3, Installing,instal 
153,microsoft-malmo, Malmö ,malmö 
154,microsoft-malmo, Getting Started ,get start 
155,microsoft-malmo, MalmoEnv ,malmoenv 
156,microsoft-malmo, Malmo as a native Python wheel ,malmo nativ python wheel 
157,microsoft-malmo, Problems: ,problem : 
158,microsoft-malmo, Launching Minecraft with our Mod: ,launch minecraft mod : 
159,microsoft-malmo, Launch an agent: ,launch agent : 
160,microsoft-malmo, Running a Python agent: ,run python agent : 
161,microsoft-malmo, Running a C++ agent: ,run c++ agent : 
162,microsoft-malmo, Running a C agent: ,run C agent : 
163,microsoft-malmo, Running a Java agent: ,run java agent : 
164,microsoft-malmo, Running an Atari agent: (Linux only) ,run atari agent : ( linux ) 
165,microsoft-malmo, Citations ,citat 
166,microsoft-malmo, Code of Conduct ,code conduct 
167,da-faster-rcnn,  Domain Adaptive Faster R-CNN for Object Detection in the Wild ,domain adapt faster r-cnn object detect wild 
168,da-faster-rcnn, Acknowledgment,acknowledg 
169,da-faster-rcnn, Usage,usag 
170,da-faster-rcnn, Example,exampl 
171,da-faster-rcnn, Other Implementation,other implement 
172,facebookresearch-ResNeXt, ResNeXt: Aggregated Residual Transformations for Deep Neural Networks,resnext : aggreg residu transform deep neural network 
173,facebookresearch-ResNeXt, Table of Contents,tabl content 
174,facebookresearch-ResNeXt, News,new 
175,facebookresearch-ResNeXt, Introduction,introduct 
176,facebookresearch-ResNeXt," Figure: Training curves on ImageNet-1K. (Left): ResNet/ResNeXt-50 with the same complexity (~4.1 billion FLOPs, ~25 million parameters); (Right): ResNet/ResNeXt-101 with the same complexity (~7.8 billion FLOPs, ~44 million parameters).","figur : train curv imagenet-1k . ( left ) : resnet/resnext-50 complex ( ~4.1 billion flop , ~25 million paramet ) ; ( right ) : resnet/resnext-101 complex ( ~7.8 billion flop , ~44 million paramet ) . "
177,facebookresearch-ResNeXt, Citation,citat 
178,facebookresearch-ResNeXt, Requirements and Dependencies,requir depend 
179,facebookresearch-ResNeXt, Training,train 
180,facebookresearch-ResNeXt, 1x Complexity Configurations Reference Table,1x complex configur refer tabl 
181,facebookresearch-ResNeXt, ImageNet Pretrained Models,imagenet pretrain model 
182,facebookresearch-ResNeXt, Single-crop (224x224) validation error rate,single-crop ( 224x224 ) valid error rate 
183,facebookresearch-ResNeXt, Third-party re-implementations,third-parti re-implement 
184,vue-devtools, vue-devtools,vue-devtool 
185,vue-devtools, Installation,instal 
186,vue-devtools, Important Usage Notes,import usag note 
187,vue-devtools, Open component in editor,open compon editor 
188,vue-devtools, Manual Installation,manual instal 
189,vue-devtools, Development,develop 
190,vue-devtools, Quick Start in chrome,quick start chrome 
191,vue-devtools, Testing as Firefox addon,test firefox addon 
192,vue-devtools, Common problems and how to fix,common problem fix 
193,vue-devtools, License,licens 
194,tippecanoe," Linear features (world railroads), visible at all zoom levels","linear featur ( world railroad ) , visibl zoom level "
195,tippecanoe," Discontinuous polygon features (buildings of Rhode Island), visible at all zoom levels","discontinu polygon featur ( build rhode island ) , visibl zoom level "
196,tippecanoe," Continuous polygon features (states and provinces), visible at all zoom levels","continu polygon featur ( state provinc ) , visibl zoom level "
197,tippecanoe," Large point dataset (GPS bus locations), for visualization at all zoom levels","larg point dataset ( gp bu locat ) , visual zoom level "
198,tippecanoe," Clustered points (world cities), summing the clustered population, visible at all zoom levels","cluster point ( world citi ) , sum cluster popul , visibl zoom level "
199,tippecanoe, Show countries at low zoom levels but states at higher zoom levels,show countri low zoom level state higher zoom level 
200,tippecanoe, Represent multiple sources (Illinois and Indiana counties) as separate layers,repres multipl sourc ( illinoi indiana counti ) separ layer 
201,tippecanoe, Merge multiple sources (Illinois and Indiana counties) into the same layer,merg multipl sourc ( illinoi indiana counti ) layer 
202,tippecanoe, Selectively remove and replace features (Census tracts) to update a tileset,select remov replac featur ( censu tract ) updat tileset 
203,tippecanoe, Output tileset,output tileset 
204,tippecanoe, Tileset description and attribution,tileset descript attribut 
205,tippecanoe, Input files and layer names,input file layer name 
206,tippecanoe, Parallel processing of input,parallel process input 
207,tippecanoe, Projection of input,project input 
208,tippecanoe, Zoom levels,zoom level 
209,tippecanoe, Tile resolution,tile resolut 
210,tippecanoe, Filtering feature attributes,filter featur attribut 
211,tippecanoe, Modifying feature attributes,modifi featur attribut 
212,tippecanoe, Filtering features by attributes,filter featur attribut 
213,tippecanoe, Dropping a fixed fraction of features by zoom level,drop fix fraction featur zoom level 
214,tippecanoe, Dropping a fraction of features to keep under tile size limits,drop fraction featur keep tile size limit 
215,tippecanoe, Dropping tightly overlapping features,drop tightli overlap featur 
216,tippecanoe, Line and polygon simplification,line polygon simplif 
217,tippecanoe, Attempts to improve shared polygon boundaries,attempt improv share polygon boundari 
218,tippecanoe, Controlling clipping to tile boundaries,control clip tile boundari 
219,tippecanoe, Reordering features within each tile,reorder featur within tile 
220,tippecanoe, Adding calculated attributes,ad calcul attribut 
221,tippecanoe, Trying to correct bad source geometry,tri correct bad sourc geometri 
222,tippecanoe, Setting or disabling tile size limits,set disabl tile size limit 
223,tippecanoe, Temporary storage,temporari storag 
224,tippecanoe, Progress indicator,progress indic 
225,tippecanoe, Filters,filter 
226,tippecanoe, Examples:,exampl : 
227,tippecanoe, Output tileset,output tileset 
228,tippecanoe, Tileset description and attribution,tileset descript attribut 
229,tippecanoe, Layer filtering and naming,layer filter name 
230,tippecanoe, Zoom levels,zoom level 
231,tippecanoe, Merging attributes from a CSV file,merg attribut csv file 
232,tippecanoe, Filtering features and feature attributes,filter featur featur attribut 
233,tippecanoe, Setting or disabling tile size limits,set disabl tile size limit 
234,tippecanoe, Options,option 
235,tippecanoe, Options,option 
236,tippecanoe, Example,exampl 
237,lasio, lasio,lasio 
238,lasio, Documentation,document 
239,lasio, Quick start,quick start 
240,lasio, License,licens 
241,DID-MDN, DID-MDN,did-mdn 
242,DID-MDN, Density-aware Single Image De-raining using a Multi-stream Dense Network,density-awar singl imag de-rain use multi-stream dens network 
243,DID-MDN, Prerequisites:,prerequisit : 
244,DID-MDN, Installation:,instal : 
245,DID-MDN, Demo using pre-trained model,demo use pre-train model 
246,DID-MDN, Training (Density-aware Deraining network using GT label),train ( density-awar derain network use GT label ) 
247,DID-MDN, Density-estimation Training (rain-density classifier),density-estim train ( rain-dens classifi ) 
248,DID-MDN, Testing,test 
249,DID-MDN, Reproduce,reproduc 
250,DID-MDN, Dataset,dataset 
251,DID-MDN, Acknowledgments,acknowledg 
252,bootstrap, Table of contents,tabl content 
253,bootstrap, Quick start,quick start 
254,bootstrap, Status,statu 
255,bootstrap, What's included,what 's includ 
256,bootstrap, Bugs and feature requests,bug featur request 
257,bootstrap, Documentation,document 
258,bootstrap, Running documentation locally,run document local 
259,bootstrap, Documentation for previous releases,document previou releas 
260,bootstrap, Contributing,contribut 
261,bootstrap, Community,commun 
262,bootstrap, Versioning,version 
263,bootstrap, Creators,creator 
264,bootstrap, Thanks,thank 
265,bootstrap, Backers,backer 
266,bootstrap, Sponsors,sponsor 
267,bootstrap, Copyright and license,copyright licens 
268,sequelize-sequelize, Sequelize,sequel 
269,sequelize-sequelize, v5 Release,v5 releas 
270,sequelize-sequelize, Table of Contents,tabl content 
271,sequelize-sequelize, Installation,instal 
272,sequelize-sequelize, Documentation,document 
273,sequelize-sequelize, Responsible disclosure,respons disclosur 
274,sequelize-sequelize, Resources,resourc 
275,sequelize-sequelize, Tools,tool 
276,sequelize-sequelize, Learning,learn 
277,sequelize-sequelize, Translations,translat 
278,DCPDN, DCPDN,dcpdn 
279,DCPDN, Densely Connected Pyramid Dehazing Network (CVPR'2018),dens connect pyramid dehaz network ( cvpr'2018 ) 
280,DCPDN, Prerequisites:,prerequisit : 
281,DCPDN, Installation:,instal : 
282,DCPDN, Demo using pre-trained model,demo use pre-train model 
283,DCPDN, Training (Fine-tuning),train ( fine-tun ) 
284,DCPDN, Testing,test 
285,DCPDN, Reproduce,reproduc 
286,DCPDN, Dataset,dataset 
287,DCPDN, How to creat your own testing samples,how creat test sampl 
288,DCPDN, Extension,extens 
289,DCPDN, Acknowledgments,acknowledg 
290,react, [React](https://reactjs.org/) &middot; [![GitHub license](https://img.shields.io/badge/license-MIT-blue.svg)](https://github.com/facebook/react/blob/master/LICENSE) [![npm version](https://img.shields.io/npm/v/react.svg?style=flat)](https://www.npmjs.com/package/react) [![CircleCI Status](https://circleci.com/gh/facebook/react.svg?style=shield&circle-token=:circle-token)](https://circleci.com/gh/facebook/react) [![PRs Welcome](https://img.shields.io/badge/PRs-welcome-brightgreen.svg)](https://reactjs.org/docs/how-to-contribute.htmlyour-first-pull-request),[ react ] ( http : //reactjs.org/ ) & middot ; [ ! [ github licens ] ( http : //img.shields.io/badge/license-mit-blue.svg ) ] ( http : //github.com/facebook/react/blob/master/licens ) [ ! [ npm version ] ( http : //img.shields.io/npm/v/react.svg ? style=flat ) ] ( http : //www.npmjs.com/package/react ) [ ! [ circleci statu ] ( http : //circleci.com/gh/facebook/react.svg ? style=shield & circle-token= : circle-token ) ] ( http : //circleci.com/gh/facebook/react ) [ ! [ pr welcom ] ( http : //img.shields.io/badge/prs-welcome-brightgreen.svg ) ] ( http : //reactjs.org/docs/how-to-contribute.htmlyour-first-pull-request ) 
291,react, Installation,instal 
292,react, Documentation,document 
293,react, Examples,exampl 
294,react, Contributing,contribut 
295,react, [Code of Conduct](https://code.fb.com/codeofconduct),[ code conduct ] ( http : //code.fb.com/codeofconduct ) 
296,react, [Contributing Guide](https://reactjs.org/contributing/how-to-contribute.html),[ contribut guid ] ( http : //reactjs.org/contributing/how-to-contribute.html ) 
297,react, Good First Issues,good first issu 
298,react, License,licens 
299,pose-residual-network-pytorch, Pose Residual Network,pose residu network 
300,pose-residual-network-pytorch, Getting Started,get start 
301,pose-residual-network-pytorch, Prerequisites,prerequisit 
302,pose-residual-network-pytorch, Installing,instal 
303,pose-residual-network-pytorch, Training,train 
304,pose-residual-network-pytorch, Testing,test 
305,pose-residual-network-pytorch, Results,result 
306,pose-residual-network-pytorch, License,licens 
307,pose-residual-network-pytorch, Citation,citat 
308,gempy," <p align=""left""><img src=""docs/logos/gempy1.png"" width=""300""></p>",< p align= '' left '' > < img src= '' docs/logos/gempy1.png '' width= '' 300 '' > < /p > 
309,gempy, What is it,what 
310,gempy, Table of Contents,tabl content 
311,gempy, News,new 
312,gempy, GemPy v2.0 beta release,gempi v2.0 beta releas 
313,gempy, What is new,what new 
314,gempy, Features,featur 
315,gempy, Sandbox,sandbox 
316,gempy, Remote Geomod: From GoogleEarth to 3-D Geology,remot geomod : from googleearth 3-d geolog 
317,gempy, Getting Started,get start 
318,gempy, Dependencies,depend 
319,gempy, Conflictive packages.,conflict packag . 
320,gempy, Installation,instal 
321,gempy, PyPi ,pypi 
322,gempy, New in GemPy 2.0: Docker image,new gempi 2.0 : docker imag 
323,gempy, Pull Docker image from DockerHub,pull docker imag dockerhub 
324,gempy, Manual,manual 
325,gempy, Windows installation guide (Jun 2019),window instal guid ( jun 2019 ) 
326,gempy, Documentation,document 
327,gempy, References,refer 
328,iter-reason, Iterative Visual Reasoning Beyond Convolutions,iter visual reason beyond convolut 
329,iter-reason, Disclaimer,disclaim 
330,iter-reason, Prerequisites,prerequisit 
331,iter-reason, Setup and Running,setup run 
332,iter-reason, References,refer 
333,DeepGuidedFilter, Fast End-to-End Trainable Guided Filter,fast end-to-end trainabl guid filter 
334,DeepGuidedFilter, Overview,overview 
335,DeepGuidedFilter, Try it on an image!,tri imag ! 
336,DeepGuidedFilter, Prepare Environment,prepar environ 
337,DeepGuidedFilter, Ready to **GO** !,readi **go** ! 
338,DeepGuidedFilter, Image Processing,imag process 
339,DeepGuidedFilter, Semantic Segmentation with Deeplab-Resnet,semant segment deeplab-resnet 
340,DeepGuidedFilter, Saliency Detection with DSS,salienc detect dss 
341,DeepGuidedFilter, Monocular Depth Estimation (TensorFlow version),monocular depth estim ( tensorflow version ) 
342,DeepGuidedFilter, Guided Filtering Layer,guid filter layer 
343,DeepGuidedFilter, Install Released Version,instal releas version 
344,DeepGuidedFilter, Usage,usag 
345,DeepGuidedFilter, Training from scratch,train scratch 
346,DeepGuidedFilter, Prepare Training Environment,prepar train environ 
347,DeepGuidedFilter, Start to Train,start train 
348,DeepGuidedFilter, Citation,citat 
349,gitfolio, Gitfolio  [![Tweet](https://img.shields.io/twitter/url/https/shields.io.svg?style=social)](https://twitter.com/intent/tweet?text=personal%20website%20and%20a%20blog%20for%20every%20github%20user%20&url=https://github.com/imfunniee/gitfolio) ![GitHub release](https://img.shields.io/github/release/imfunniee/gitfolio.svg?style=popout-square) ![npm](https://img.shields.io/npm/dm/gitfolio.svg?style=popout-square) ![GitHub top language](https://img.shields.io/github/languages/top/imfunniee/gitfolio.svg?style=popout-square) ![GitHub last commit](https://img.shields.io/github/last-commit/imfunniee/gitfolio.svg?style=popout-square) ![GitHub](https://img.shields.io/github/license/imfunniee/gitfolio.svg?style=popout-square),gitfolio [ ! [ tweet ] ( http : //img.shields.io/twitter/url/https/shields.io.svg ? style=soci ) ] ( http : //twitter.com/intent/tweet ? text=person % 20websit % 20and % 20a % 20blog % 20for % 20everi % 20github % 20user % 20 & url=http : //github.com/imfunniee/gitfolio ) ! [ github releas ] ( http : //img.shields.io/github/release/imfunniee/gitfolio.svg ? style=popout-squar ) ! [ npm ] ( http : //img.shields.io/npm/dm/gitfolio.svg ? style=popout-squar ) ! [ github top languag ] ( http : //img.shields.io/github/languages/top/imfunniee/gitfolio.svg ? style=popout-squar ) ! [ github last commit ] ( http : //img.shields.io/github/last-commit/imfunniee/gitfolio.svg ? style=popout-squar ) ! [ github ] ( http : //img.shields.io/github/license/imfunniee/gitfolio.svg ? style=popout-squar ) 
350,gitfolio, personal website + blog  for every github user,person websit + blog everi github user 
351,gitfolio, Getting Started,get start 
352,gitfolio, Let's Install,let 's instal 
353,gitfolio, Let's Build,let 's build 
354,gitfolio, Let's Customize,let 's custom 
355,gitfolio, Forks,fork 
356,gitfolio, Sorting Repos,sort repo 
357,gitfolio, Ordering Repos,order repo 
358,gitfolio, Customize Themes,custom theme 
359,gitfolio, Customize background image,custom background imag 
360,gitfolio, Let's Publish,let 's publish 
361,gitfolio, Updating,updat 
362,gitfolio, Add a Blog,add blog 
363,gitfolio, License,licens 
364,gitbucket-gitbucket, 4.31.2 - 7 Apr 2019,4.31.2 - 7 apr 2019 
365,gitbucket-gitbucket, 4.31.1 - 17 Mar 2019,4.31.1 - 17 mar 2019 
366,gitbucket-gitbucket, 4.31.0 - 17 Mar 2019,4.31.0 - 17 mar 2019 
367,neural_renderer, Neural 3D Mesh Renderer (CVPR 2018),neural 3D mesh render ( cvpr 2018 ) 
368,neural_renderer, For PyTorch users,for pytorch user 
369,neural_renderer, Installation,instal 
370,neural_renderer, Running examples,run exampl 
371,neural_renderer, Example 1: Drawing an object from multiple viewpoints,exampl 1 : draw object multipl viewpoint 
372,neural_renderer, Example 2: Optimizing vertices,exampl 2 : optim vertic 
373,neural_renderer, Example 3: Optimizing textures,exampl 3 : optim textur 
374,neural_renderer, Example 4: Finding camera parameters,exampl 4 : find camera paramet 
375,neural_renderer, FAQ,faq 
376,neural_renderer, CPU implementation?,cpu implement ? 
377,neural_renderer, Python3 support?,python3 support ? 
378,neural_renderer, Citation,citat 
379,facebookresearch-DensePose, DensePose: ,densepos : 
380,facebookresearch-DensePose, Installation,instal 
381,facebookresearch-DensePose, Inference-Training-Testing,inference-training-test 
382,facebookresearch-DensePose, Notebooks,notebook 
383,facebookresearch-DensePose, Visualization of DensePose-COCO annotations:,visual densepose-coco annot : 
384,facebookresearch-DensePose, DensePose-COCO in 3D:,densepose-coco 3D : 
385,facebookresearch-DensePose, Visualize DensePose-RCNN Results:,visual densepose-rcnn result : 
386,facebookresearch-DensePose, DensePose-RCNN Texture Transfer:,densepose-rcnn textur transfer : 
387,facebookresearch-DensePose, License,licens 
388,facebookresearch-DensePose," <a name=""CitingDensePose""></a>Citing DensePose",< name= '' citingdensepos '' > < /a > cite densepos 
389,node-qa-masker, node-qa-masker,node-qa-mask 
390,node-qa-masker, Installation,instal 
391,node-qa-masker, Use Example,use exampl 
392,node-qa-masker, Landsat 8,landsat 8 
393,node-qa-masker, MODIS Land Products,modi land product 
394,node-qa-masker, Looking for command line tool?,look command line tool ? 
395,node-qa-masker, You are a GIS guy and want something GIS?,you gi guy want someth gi ? 
396,mapshaper, mapshaper,mapshap 
397,mapshaper, Introduction,introduct 
398,mapshaper, Command line tool,command line tool 
399,mapshaper, Interactive web interface,interact web interfac 
400,mapshaper, Large file support,larg file support 
401,mapshaper, run the command line program,run command line program 
402,mapshaper, use the web UI locally,use web UI local 
403,mapshaper, Building and testing,build test 
404,mapshaper, License,licens 
405,mapshaper, Acknowledgements,acknowledg 
406,segyio, segyio ,segyio 
407,segyio, Index ,index 
408,segyio, Introduction ,introduct 
409,segyio, Feature summary ,featur summari 
410,segyio, Getting started ,get start 
411,segyio, Quick start ,quick start 
412,segyio, Get segyio ,get segyio 
413,segyio, Build segyio ,build segyio 
414,segyio, Developers ,develop 
415,segyio, Tutorial ,tutori 
416,segyio, Basics ,basic 
417,segyio, Modes ,mode 
418,segyio, Mode examples ,mode exampl 
419,segyio, Project goals ,project goal 
420,segyio, SEG-Y Revisions ,seg-i revis 
421,segyio, Contributing ,contribut 
422,segyio, xarray integration ,xarray integr 
423,segyio, Reproducing the test data ,reproduc test data 
424,segyio, Examples ,exampl 
425,segyio, Python ,python 
426,segyio, MATLAB ,matlab 
427,segyio, Common issues ,common issu 
428,segyio, ImportError: libsegyio.so.1: cannot open shared object file,importerror : libsegyio.so.1 : open share object file 
429,segyio, Possible solutions,possibl solut 
430,segyio, RuntimeError: unable to find sorting,runtimeerror : unabl find sort 
431,segyio, Possible solutions,possibl solut 
432,segyio, History ,histori 
433,vid2vid, vid2vid,vid2vid 
434,vid2vid, [Project](https://tcwang0509.github.io/vid2vid/) | [YouTube(short)](https://youtu.be/5zlcXTCpQqM) | [YouTube(full)](https://youtu.be/GrP_aOSXt5U) | [arXiv](https://arxiv.org/abs/1808.06601) | [Paper(full)](https://tcwang0509.github.io/vid2vid/paper_vid2vid.pdf),[ project ] ( http : //tcwang0509.github.io/vid2vid/ ) | [ youtub ( short ) ] ( http : //youtu.be/5zlcxtcpqqm ) | [ youtub ( full ) ] ( http : //youtu.be/grp_aosxt5u ) | [ arxiv ] ( http : //arxiv.org/abs/1808.06601 ) | [ paper ( full ) ] ( http : //tcwang0509.github.io/vid2vid/paper_vid2vid.pdf ) 
435,vid2vid, Video-to-Video Translation,video-to-video translat 
436,vid2vid, Prerequisites,prerequisit 
437,vid2vid, Getting Started,get start 
438,vid2vid, Installation,instal 
439,vid2vid, Testing ,test 
440,vid2vid, Dataset,dataset 
441,vid2vid, Training with Cityscapes dataset,train cityscap dataset 
442,vid2vid, Training with face datasets,train face dataset 
443,vid2vid, Training with pose datasets,train pose dataset 
444,vid2vid, Training with your own dataset,train dataset 
445,vid2vid, More Training/Test Details,more training/test detail 
446,vid2vid, Citation,citat 
447,vid2vid, Acknowledgments,acknowledg 
448,PVGeo, Demonstrations of *PVGeo*,demonstr *pvgeo* 
449,PVGeo, Connections,connect 
450,PVGeo, Getting Started,get start 
451,PVGeo, Report Issues and Contribute,report issu contribut 
