,Header
" OrderedDict([(u'PERIMETER', 1.22107), (u'FEATURE2', None), (u'NAME', u'Mount Naomi Wilderness'), (u'FEATURE1', u'Wilderness'), (u'URL', u'http://www.wilderness.net/index.cfm?fuse=NWPS&sec=wildView&wname=Mount%20Naomi'), (u'AGBUR', u'FS'), (u'AREA', 0.0179264), (u'STATE_FIPS', u'49'), (u'WILDRNP020', 332), (u'STATE', u'UT')])",1
 Install,1
 Example of a js module,1
 SEG-Y Revisions ,1
 Run the tests,1
 v5 Release,1
 Q: Which Chromium version does Puppeteer use?,1
 Layer filtering and naming,1
 wav2letter++,1
 Forks,1
 Versioning,1
 History ,1
 Demo and Test on OTB2015,1
 Install Released Version,1
 Polygon,1
 Python3 support?,1
 Evaluation,1
 vid2vid,1
 Preparation,1
 puppeteer-core,1
 Looking for command line tool?,1
 Add a Blog,1
 Check mesh for holes again,1
 Q: How do I try/test a prerelease version of Puppeteer?,1
 Installing geonotebook for development,1
 Use Example,1
 ResNeXt: Aggregated Residual Transformations for Deep Neural Networks,1
 View the repaired mesh (requires vtkInterface),1
 DensePose: ,1
 ImageNet Pretrained Models,1
 Quick Start: Using Detectron,1
 Large file support,1
 What's included,1
 Tools,1
 For PyTorch users,1
 Gitfolio  [![Tweet](https://img.shields.io/twitter/url/https/shields.io.svg?style=social)](https://twitter.com/intent/tweet?text=personal%20website%20and%20a%20blog%20for%20every%20github%20user%20&url=https://github.com/imfunniee/gitfolio) ![GitHub release](https://img.shields.io/github/release/imfunniee/gitfolio.svg?style=popout-square) ![npm](https://img.shields.io/npm/dm/gitfolio.svg?style=popout-square) ![GitHub top language](https://img.shields.io/github/languages/top/imfunniee/gitfolio.svg?style=popout-square) ![GitHub last commit](https://img.shields.io/github/last-commit/imfunniee/gitfolio.svg?style=popout-square) ![GitHub](https://img.shields.io/github/license/imfunniee/gitfolio.svg?style=popout-square),1
 Model,1
 Neural 3D Mesh Renderer (CVPR 2018),1
 Model Options,1
 Getting Started ,1
 Configure the notebook:,1
 Use geoserver for tile serving,1
 Environment,1
 Fill holes,1
" Clustered points (world cities), summing the clustered population, visible at all zoom levels",1
 Let's Build,1
 Getting To Know Yeoman,1
 Integral Human Pose Regression,1
 Citing DaSiamRPN,1
 Stay In Touch,1
 Prediction,1
 executes ``dst.flush(); dst.close()``.,1
 Running examples,1
 Getting started ,1
 Trying to correct bad source geometry,1
 Run demo,1
 Automated Install (w/ Anaconda),1
 citation suggestion:,1
" Get basic information about the product: its title, file size, MD5 sum, date, footprint and",1
 Merging attributes from a CSV file,1
 Examples ,1
 Extension,1
 Malmö ,1
 APSG - python package for structural geologists,1
 Training with Cityscapes dataset,1
 Introduction ,1
 How to choose,1
 Access the repaired mesh with vtk,1
 Project Page,1
 Beam natural frequencies,1
 3,1
 Ordering Repos,1
 Common issues ,1
 Training (Density-aware Deraining network using GT label),1
 Start to Train,1
 [API](https://github.com/GoogleChrome/puppeteer/blob/v1.18.0/docs/api.md) | [FAQ](faq) | [Contributing](https://github.com/GoogleChrome/puppeteer/blob/master/CONTRIBUTING.md) | [Troubleshooting](https://github.com/GoogleChrome/puppeteer/blob/master/docs/troubleshooting.md),1
 What can you do with PyRobot?,1
 Running a Python agent: ,1
 Our results on real data,1
 Pose Residual Network,1
 Input files and layer names,1
 DCPDN,1
 Build segyio ,1
 Sandbox,1
 Backers,1
 New in GemPy 2.0: Docker image,1
 run the command line program,1
 Tutorials,1
" make k, m full, symmetric matricies",1
 Contribution guidelines,1
 Detailed steps to install the prerequisites,1
 Continuous build status,1
 Test of pymeshfix without VTK module,1
 PyTorch Implementation,1
 Modes ,1
 Vagrant Machine,1
 🔥 Ultimate Facebook Scrapper ,1
 Installing both PyRobot and LoCoBot dependencies,1
 Represent multiple sources (Illinois and Indiana counties) as separate layers,1
 PyPi ,1
 Open component in editor,1
 Report Bugs,1
 Visualize DensePose-RCNN Results:,1
 Create a vtk unstructured grid from the raw data and plot it,1
 Demonstrations of *PVGeo*,1
 Running Models,1
 example 2B: horizontal mean BGR algorithm applied,1
 Add the bounds axis,1
 Write the product as a raster band to a new 8-bit file. For,1
 Read raster bands directly to Numpy arrays.,1
 4.31.2 - 7 Apr 2019,1
 **[CU-Net: Coupled U-Nets](https://arxiv.org/abs/1808.06521)**,1
" (791, 718)",1
 Installing Pyro dev branch,1
" Affine(300.0379266750948, 0.0, 101985.0,",1
 [Contributing Guide](https://reactjs.org/contributing/how-to-contribute.html),1
 Templates and other files,1
 Requirements: Software,1
 personal website + blog  for every github user,1
 desired.,1
 Run,1
 Let's Customize,1
 Contributing to Puppeteer,1
" <a name=""CitingDensePose""></a>Citing DensePose",1
 Training MS-LapSRN,1
 Quick start ,1
 Third-Party Implementation,1
 Begin to train,1
 a record schema.  We can get initial values from the open,1
 Report Issues and Contribute,1
 Contact,1
 Submit Pull Requests,1
 Summary,1
 Inference-Training-Testing,1
 tin.join_closest_components(),1
 example 1A,1
 Controlling clipping to tile boundaries,1
 The Team,1
 Example 4: Finding camera parameters,1
 Models,1
 Basic verbose logging,1
 sg2im,1
 Learning,1
 More cases on real photos from previous papers:,1
 Installation from source,1
 Yeoman Generators,1
 What's the difference between Patreon and OpenCollective?,1
 Example output,1
 Known plugins,1
 Results on the testing dataset,1
 Data Preparation,1
 From Conda-forge,1
 same result as query above,1
 Upgrading via pip,1
 Windows Setup with python 3 and Anaconda,1
 PIP Release,1
 Try it on an image!,1
 Read ansys archive file,1
 Thanks,1
" temporarily exceed the 8-bit integer range, initialize it as",1
 Process only the records intersecting a box.,1
 Incremental dynamic texture synthesis,1
 Adding calculated attributes,1
 ,1
 preserves the type of the total array.,1
 Citing Papers,1
 Community Supported Builds,1
 Join the wav2letter community,1
" Like this work, or scene understanding in general? You might be interested in checking out my brand new dataset VCR: Visual Commonsense Reasoning, at [visualcommonsense.com](https://visualcommonsense.com)!",1
 or return numpy arrays,1
 Support,1
 Configuration file,1
 mapping fills in the keyword parameters of fiona.open().,1
 Running the code,1
 Building wav2letter++,1
 Single-crop (224x224) validation error rate,1
 Sample,1
 usage,1
 example 1B,1
 React Native,1
 Prepare Training Environment,1
 Bugs and feature requests,1
 Setup and Running,1
 Testing as Firefox addon,1
 Tile Server,1
 Launch an agent: ,1
 Other scripts,1
 GPRPy,1
 write this as a vtk xml file ,1
 Ready to **GO** !,1
 Sample result file,1
 1x Complexity Configurations Reference Table,1
 Video-to-Video Translation,1
 Train,1
 GeoJSON FeatureCollection containing footprints and metadata of the scenes,1
 returns upper triangle only,1
 Create result object by loading the result file,1
 installing from source:,1
 Filtering features and feature attributes,1
 From Docker,1
 Display node averaged stress in x direction for result 6,1
" <p align=""left""><img src=""docs/logos/gempy1.png"" width=""300""></p>",1
 Get the 1st bending mode shape.  Results are ordered based on the sorted ,1
 Still a beta,1
 Grab a few elements of interest and plot em up!,1
 Recent Works,1
 create a square area using keypoints,1
 An NYPL Labs project,1
 download all results from the search,1
 Dynamic texture synthesis,1
 Validation,1
 GPU Installation,1
 contributors,1
 Example input,1
 node-qa-masker,1
 Copyright and license,1
 Model Zoo and Baselines,1
 Show countries at low zoom levels but states at higher zoom levels,1
 numpy np.int32 array,1
 From PyPi,1
 Current release info,1
 Saliency Detection with DSS,1
 D3: Data-Driven Documents,1
 Opensource contributions,1
 Filtering features by attributes,1
 Get segyio ,1
 Merge multiple sources (Illinois and Indiana counties) into the same layer,1
 How to creat your own testing samples,1
" arrays to it in-place converts those arrays ""up"" and",1
 Static texture synthesis,1
 2. Install PyLops in a new Conda environment,1
 How to Run,1
" Linear features (world railroads), visible at all zoom levels",1
 Default Dataset settings,1
 Customizing The Vectorizer to your own maps,1
" the new file's profile, we start with the meta attributes of",1
 GeoPandas GeoDataFrame with the metadata of the scenes and the footprints as geometries,1
 Master version,1
 Simplemost installation,1
 Interactive web interface,1
 Running a C++ agent: ,1
 67,1
 Changelog,1
 Dropping a fraction of features to keep under tile size limits,1
 Installing APSG from the source distribution,1
 Visualization of DensePose-COCO annotations:,1
 Basics ,1
 Why mplleaflet?,1
 Feature summary ,1
 MODIS Land Products,1
 Reordering features within each tile,1
 Temporally-endless dynamic texture synthesis,1
 Full documentation,1
 GeoNotebook [![CircleCI](https://circleci.com/gh/OpenGeoscience/geonotebook.svg?style=shield)](https://circleci.com/gh/OpenGeoscience/geonotebook) [![Gitter chat](https://badges.gitter.im/gitterHQ/gitter.png)](https://gitter.im/OpenGeoscience/geonotebook),1
 Configuring,1
 Best Practices,1
 Q: I have more questions! Where do I ask?,1
 RESCAN: Recurrent Squeeze-and-Excitation Context Aggregation Net,1
 numpy np.float array,1
" ((100, 200), (100, 200))",1
 Training LapSRN,1
 ICNet for Real-Time Semantic Segmentation on High-Resolution Images,1
"        0.0, -300.041782729805, 2826915.0)",1
 collection's ``meta`` property and then modify them as,1
 Testing ,1
" Q: What’s the difference between a “trusted"" and ""untrusted"" input event?",1
 Notebooks,1
 Running a C agent: ,1
 CPU implementation?,1
 Related projects,1
 Building and testing,1
 Scripts,1
 Official Builds,1
 Conflictive packages.,1
 Haris Muneer,1
 Malmo as a native Python wheel ,1
 Webcam Demo (thanks @JulesDoe!),1
 condition the k matrix,1
 Parallel processing of input,1
" Figure: Training curves on ImageNet-1K. (Left): ResNet/ResNeXt-50 with the same complexity (~4.1 billion FLOPs, ~25 million parameters); (Right): ResNet/ResNeXt-101 with the same complexity (~7.8 billion FLOPs, ~44 million parameters).",1
 Good First Issues,1
 Protocol traffic can be rather noisy. This example filters out all Network domain messages,1
 Playing a MIDI Instrument,1
 Sequelize,1
 Misc.,1
 scikit-image: Image processing in Python,1
 Get a point on the boundary of the record's,1
 Customize background image,1
 Kinetics,1
 Or whatever was the last version to build.,1
 pyGeoPressure -->,1
 Training with pose datasets,1
 Output mesh,1
 Manual,1
 Extensions,1
 Community,1
 Install or Update,1
 Clone the repo:,1
 Let's Publish,1
 4.31.0 - 17 Mar 2019,1
 Like OCR for maps,1
 Acknowledgment,1
 What is Yeoman?,1
 generator-arcgis-js-app,1
 Training (Fine-tuning),1
 Solve,1
 More Training/Test Details,1
 Development Environment,1
 Q: I am having trouble installing / running Puppeteer in my test environment. Where should I look for help?,1
 Linux Setup with virtualenv,1
 Training from scratch,1
 Ecosystem,1
 What can I do?,1
 Extra feature detection,1
 News!,1
 Project Structure,1
 First run,1
 GemPy v2.0 beta release,1
 Code of Conduct ,1
" Or, access the resulting arrays directly from the object",1
 Conda,1
" dtype to uint8, and specify LZW compression.",1
 DensePose-RCNN Texture Transfer:,1
 Table of contents,1
 Developers ,1
 DeepMVS: Learning Multi-View Stereopsis,1
 Filters,1
 Pre-trained models,1
 Remote Geomod: From GoogleEarth to 3-D Geology,1
 *Try your first TensorFlow program*,1
 Default runtime settings,1
 Let's Install,1
 Objective,1
 basic functionality,1
 Prerequisite,1
 future,1
 Example of a json file,1
 In case of trouble,1
 Example 3: Optimizing textures,1
 [u'bar'],1
 [React](https://reactjs.org/) &middot; [![GitHub license](https://img.shields.io/badge/license-MIT-blue.svg)](https://github.com/facebook/react/blob/master/LICENSE) [![npm version](https://img.shields.io/npm/v/react.svg?style=flat)](https://www.npmjs.com/package/react) [![CircleCI Status](https://circleci.com/gh/facebook/react.svg?style=shield&circle-token=:circle-token)](https://circleci.com/gh/facebook/react) [![PRs Welcome](https://img.shields.io/badge/PRs-welcome-brightgreen.svg)](https://reactjs.org/docs/how-to-contribute.htmlyour-first-pull-request),1
 Example 2: Optimizing vertices,1
 Install TensorFlow,1
 Scale-recurrent Network for Deep Image Deblurring,1
 Example 1: Drawing an object from multiple viewpoints,1
 Contribute,1
 Running Pyro from a Docker Container,1
 Hassaan Elahi,1
 Problems: ,1
 Fast End-to-End Trainable Guided Filter,1
 Performs same mesh repair while leveraging VTK's plotting/mesh loading,1
 DaSiamRPN,1
 Modifying feature attributes,1
" (u'coutwildrnp', 67)",1
 The Classical Language Toolkit,1
 Q: Why doesn’t Puppeteer v.XXX work with Chromium v.YYY?,1
 readgssi,1
 Puppeteer,1
 3D ResNets for Action Recognition,1
 Q: What are Puppeteer’s goals and principles?,1
 Generate vertex and face arrays of cleaned mesh,1
 Progress indicator,1
 Attempt to join nearby components,1
  Domain Adaptive Faster R-CNN for Object Detection in the Wild ,1
 Sorting Repos,1
 PyPI,1
 celebA-HQ,1
 ipyleaflet,1
 Filtering feature attributes,1
 Pretrained model for SiamRPN,1
 Linking PVGeo to ParaView,1
 Installing apsg,1
" the source file, but then change the band count to 1, set the",1
 its download url,1
 Update (2018/2/21),1
 Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution (CVPR 2017),1
 GANimation: Anatomically-aware Facial Animation from a Single Image,1
 plot quality,1
 Status,1
 Installation from sources,1
" Discontinuous polygon features (buildings of Rhode Island), visible at all zoom levels",1
 Update (2018/01/16),1
 Baseline,1
 Python ,1
 4.31.1 - 17 Mar 2019,1
 Translations,1
 download single scene by known product id,1
 UCF-101,1
 Important Usage Notes,1
 Quick Start,1
 mplleaflet,1
" The file we'll write to, the ""destination"", must be initialized",1
 Donate,1
" {u'units': u'm', u'no_defs': True, u'ellps': u'WGS84', u'proj': u'utm', u'zone': 18}",1
 RuntimeError: unable to find sorting,1
 Densely Connected Pyramid Dehazing Network (CVPR'2018),1
 Save the mesh,1
 load the full file,1
 Plot the displacement of Mode 0 in the x direction,1
 The whole test pipeline,1
 Citing Flow-Guided Feature Aggregation,1
 Kosmtik,1
 Examples:,1
 Responsible disclosure,1
 HMDB-51,1
 Other Implementation,1
 Q: Is Puppeteer replacing Selenium/WebDriver?,1
 Updating,1
 The destination's contents are flushed to disk and the file is,1
 IPython Notebook embedding,1
 Installing just PyRobot,1
 CSV output,1
" to avoid getting the ""Factor is exactly singular"" error",1
 Running documentation locally,1
 Future features,1
 DID-MDN,1
 Flow-Guided Feature Aggregation for Video Object Detection,1
 GAN stability,1
 Pretrained Models,1
 About the Authors [![Open Source](https://img.shields.io/badge/open--source-yes-brightgreen.svg)](https://opensource.com/resources/what-open-source),1
 where v and f are numpy arrays or python lists,1
 Residual Dense Network for Image Super-Resolution,1
 mapshaper,1
 requirements,1
 vue-devtools,1
 Customize Themes,1
 ImportError: libsegyio.so.1: cannot open shared object file,1
 Of course you don't need this one if you didn't install it yet.,1
 DensePose-COCO in 3D:,1
 Landsat 8,1
 [Project](https://tcwang0509.github.io/vid2vid/) | [YouTube(short)](https://youtu.be/5zlcXTCpQqM) | [YouTube(full)](https://youtu.be/GrP_aOSXt5U) | [arXiv](https://arxiv.org/abs/1808.06601) | [Paper(full)](https://tcwang0509.github.io/vid2vid/paper_vid2vid.pdf),1
 Manual Installation,1
 Monocular Depth Estimation (TensorFlow version),1
 Tile resolution,1
 Requirements: Hardware,1
 Important Message,1
 neural-motifs,1
" Make a virtualenv, install jupyter[notebook], install geonotebook",1
 Using Magenta,1
 End-to-end Recovery of Human Shape and Pose,1
 Change log,1
 What is new,1
 Screenshots,1
 Other examples,1
 Sponsors,1
 Project structure,1
 advanced plotting,1
 Local config,1
 Repair input mesh,1
 Iterative Visual Reasoning Beyond Convolutions,1
 Run the notebook:,1
 Test Pre-trained Models,1
 Note,1
 Read mesh from infile and output cleaned mesh to outfile,1
 Q: What’s considered a “Navigation”?,1
 Grab the active plotting window,1
 Sample *.cdb,1
 How Does It Work?,1
 Q: Who maintains Puppeteer?,1
 Training code/data,1
 Docker Container,1
 Create object from vertex and face arrays,1
 Authors,1
 Connections,1
 Debugging tips,1
 Pore Pressure Prediction using well log data,1
 Gratitude,1
 Basic usage,1
 License (Modified BSD),1
 Command line tool,1
 Mode examples ,1
 Windows installation guide (Jun 2019),1
 Running a Java agent: ,1
 Training with face datasets,1
 help,1
" with a coordinate system, a format driver name, and",1
 known bugs:,1
 Browser Compatibility,1
 Getting Help,1
 Citation ,1
 Temporary storage,1
 Prepare training data ,1
 History,1
" Continuous polygon features (states and provinces), visible at all zoom levels",1
 Suggest Enhancements,1
 Add our datasets,1
" [1, 2, 3]",1
 Citing Detectron,1
 [[Project]](http://www.albertpumarola.com/research/GANimation/index.html)[ [Paper]](https://arxiv.org/abs/1807.09251) ,1
" tin.load_array(v, f)  or read arrays from memory",1
 Dropping tightly overlapping features,1
 Optional arguments,1
 Test,1
 geojson-vt &mdash; GeoJSON Vector Tiles,1
 Semantic Segmentation with Deeplab-Resnet,1
 Uninstalling GPRPy,1
 xarray integration ,1
 a 64-bit float (the numpy default) array. Adding other,1
 get cell centroids,1
 Clean (removes self intersections),1
 Pull Docker image from DockerHub,1
 MATLAB ,1
 Required argument,1
 Create TMesh object,1
 use the web UI locally,1
" Open an output file, using the same format driver and",1
 Write the record out.,1
 What is used?,1
 Running an Atari agent: (Linux only) ,1
 Manual Install (w/o Anaconda),1
 Common problems and how to fix,1
 Plot input,1
 example 1C: gain can be tricky depending on your colormap,1
 Attempts to improve shared polygon boundaries,1
 Density-estimation Training (rain-density classifier),1
 connect to the API,1
 Custom renderers,1
 Projection of input,1
 [Code of Conduct](https://code.fb.com/codeofconduct),1
 segyio ,1
 Q: What features does Puppeteer not support?,1
 Training new models,1
 Performance of the models on Kinetics,1
 Running automatically generated scripts,1
 Contribution,1
 Start MATLAB,1
 Dynamics style transfer,1
 Tutorial ,1
 Semi-optional arguments,1
 Imagenet,1
 (Optional): GraphViz,1
 coordinate reference system as the source. The ``meta``,1
 example 2A: no background removal,1
 Documentation for previous releases,1
 MalmoEnv ,1
 geometry.,1
 Quick Start in chrome,1
 Get the product's full metadata available on the server,1
 Load this from vtk,1
