,Repo,Header,Label,Prediction
101,gempy-README.md, Getting Started,usage,usage
102,gempy-README.md, Dependencies,requirements,requirements
103,gempy-README.md, Conflictive packages.,,
104,gempy-README.md, Installation,install,install
105,gempy-README.md, PyPi ,,
106,gempy-README.md, New in GemPy 2.0: Docker image,,
107,gempy-README.md, Pull Docker image from DockerHub,,
108,gempy-README.md, Manual,documentation,install
109,gempy-README.md, Windows installation guide (Jun 2019),install,install
110,gempy-README.md, Documentation,documentation,documentation
111,gempy-README.md, References,,citation
112,sentinelsat-README.md, connect to the API,,
113,sentinelsat-README.md, download single scene by known product id,,download
114,sentinelsat-README.md," search by polygon, time, and Hub query keywords",,
115,sentinelsat-README.md, download all results from the search,,download
116,sentinelsat-README.md, GeoJSON FeatureCollection containing footprints and metadata of the scenes,,
117,sentinelsat-README.md, GeoPandas GeoDataFrame with the metadata of the scenes and the footprints as geometries,,
118,sentinelsat-README.md," Get basic information about the product: its title, file size, MD5 sum, date, footprint and",,usage
119,sentinelsat-README.md, its download url,,download
120,sentinelsat-README.md, Get the product's full metadata available on the server,,usage
121,sentinelsat-README.md, same result as query above,,
122,DeepMVS-README.md, DeepMVS: Learning Multi-View Stereopsis,,
123,DeepMVS-README.md, Requirements,requirements,requirements
124,DeepMVS-README.md, Instructions,usage,
125,DeepMVS-README.md, Requirements,requirements,requirements
126,DeepMVS-README.md, Instructions,usage,
127,DeepMVS-README.md, License,license,license
128,Shapely-README.md,"Shapely
",,
129,Shapely-README.md,"Requirements
",requirements,requirements
130,Shapely-README.md,"Installing Shapely 1.6
",install,install
131,Shapely-README.md,"Built distributions
",,
132,Shapely-README.md,"Source distributions
",,
133,Shapely-README.md,"Usage
",usage,usage
134,Shapely-README.md,"Integration
",,
135,Shapely-README.md,"Development and Testing
",,
136,Shapely-README.md,"Support
",support,support
137,nextflow-io-nextflow-README.md,Quick overview,,
138,nextflow-io-nextflow-README.md,"Rationale
",,
139,nextflow-io-nextflow-README.md,"Download the package
",download,download
140,nextflow-io-nextflow-README.md,"Download from Conda
",download,download
141,nextflow-io-nextflow-README.md,"Documentation
",documentation,documentation
142,nextflow-io-nextflow-README.md,"HPC Schedulers
",,
143,nextflow-io-nextflow-README.md,Cloud support,,support
144,nextflow-io-nextflow-README.md,"Containers
",,
145,nextflow-io-nextflow-README.md,"Conda environments
",install,
146,nextflow-io-nextflow-README.md,"Environment Modules
",,
147,nextflow-io-nextflow-README.md,"Community
",support,
148,nextflow-io-nextflow-README.md,"Required dependencies
",requirements,requirements
149,nextflow-io-nextflow-README.md,"Build from source
",install,
150,nextflow-io-nextflow-README.md,"Known compilation problems
",,faq
151,nextflow-io-nextflow-README.md,"IntelliJ IDEA
",,
152,nextflow-io-nextflow-README.md,"Contributing
",contribute,
153,nextflow-io-nextflow-README.md,"Build servers
",,
154,nextflow-io-nextflow-README.md,"License
",license,license
155,nextflow-io-nextflow-README.md,"Citations
",citation,citation
156,nextflow-io-nextflow-README.md,"Credits
",,citation
157,scikit-image-scikit-image-README.md, scikit-image: Image processing in Python,long_title,
158,scikit-image-scikit-image-README.md, Installation from binaries,install,install
159,scikit-image-scikit-image-README.md, Installation from source,install,install
160,scikit-image-scikit-image-README.md, License (Modified BSD),license,license
161,scikit-image-scikit-image-README.md, Citation,citation,citation
162,CU-Net-README.md, Overview,description,
163,CU-Net-README.md, Prerequisites,requirements,requirements
164,CU-Net-README.md, Training,,
165,CU-Net-README.md, Validation,,
166,CU-Net-README.md, Model Options,,
167,CU-Net-README.md, Project Page,project_page,
168,CU-Net-README.md, Citation,citation,citation
169,pyGeoPressure-README.md, pyGeoPressure -->,,
170,pyGeoPressure-README.md, Features,description,
171,pyGeoPressure-README.md, Installation,install,install
172,pyGeoPressure-README.md, Pore Pressure Prediction using well log data,,
173,pyGeoPressure-README.md, Documentation,documentation,documentation
174,pyGeoPressure-README.md, Report Bugs,,support
175,pyGeoPressure-README.md, Suggest Enhancements,,
176,pyGeoPressure-README.md, Submit Pull Requests,,
177,pyGeoPressure-README.md, Support,support,support
178,pyGeoPressure-README.md, License,license,license
179,Fiona-README.md," Open a file for reading. We'll call this the ""source.""",,
180,Fiona-README.md," The file we'll write to, the ""destination"", must be initialized",,
181,Fiona-README.md," with a coordinate system, a format driver name, and",,
182,Fiona-README.md, a record schema.  We can get initial values from the open,,usage
183,Fiona-README.md, collection's ``meta`` property and then modify them as,,
184,Fiona-README.md, desired.,,
185,Fiona-README.md," Open an output file, using the same format driver and",,
186,Fiona-README.md, coordinate reference system as the source. The ``meta``,,citation
187,Fiona-README.md, mapping fills in the keyword parameters of fiona.open().,,
188,Fiona-README.md, Process only the records intersecting a box.,,
189,Fiona-README.md, Get a point on the boundary of the record's,,usage
190,Fiona-README.md, geometry.,,
191,Fiona-README.md, Write the record out.,,
192,Fiona-README.md, The destination's contents are flushed to disk and the file is,,
193,Fiona-README.md, closed when its ``with`` block ends. This effectively,,
194,Fiona-README.md, executes ``dst.flush(); dst.close()``.,,run
195,Fiona-README.md, Output:,,
196,Fiona-README.md," (u'coutwildrnp', 67)",,
197,Fiona-README.md, Output:,,
198,Fiona-README.md," (0, u'coutwildrnp', 67)",,
199,Fiona-README.md, Output:,,
200,Fiona-README.md, [u'bar'],,
201,Fiona-README.md,1,,
202,Fiona-README.md, Polygon,,
203,Fiona-README.md," OrderedDict([(u'PERIMETER', 1.22107), (u'FEATURE2', None), (u'NAME', u'Mount Naomi Wilderness'), (u'FEATURE1', u'Wilderness'), (u'URL', u'http://www.wilderness.net/index.cfm?fuse=NWPS&sec=wildView&wname=Mount%20Naomi'), (u'AGBUR', u'FS'), (u'AREA', 0.0179264), (u'STATE_FIPS', u'49'), (u'WILDRNP020', 332), (u'STATE', u'UT')])",,
204,Fiona-README.md, Output:,,
205,Fiona-README.md," (0, u'coutwildrnp', 67)",,
206,Fiona-README.md, Output:,,
207,Fiona-README.md,67,,
208,sg2im-README.md, sg2im,,
209,sg2im-README.md, Model,,
210,sg2im-README.md, Setup,install,install
211,sg2im-README.md, Pretrained Models,,
212,sg2im-README.md, Running Models,run,run
213,sg2im-README.md, (Optional): GraphViz,,
214,sg2im-README.md, Training new models,,
215,pyvista-README.md,"Highlights
",,
216,pyvista-README.md,"Overview of Features
",description,
217,pyvista-README.md,"Documentation
",documentation,documentation
218,pyvista-README.md,"Installation
",install,install
219,pyvista-README.md,"Connections
",,
220,pyvista-README.md,"Authors
",,
221,pyvista-README.md,"Contributing
",contribute,
222,pyvista-README.md,"Citing PyVista
",citation,citation
223,ICNet-README.md, ICNet for Real-Time Semantic Segmentation on High-Resolution Images,long_title,
224,ICNet-README.md, Introduction,description,description
225,ICNet-README.md, Usage,usage,usage
226,ICNet-README.md, Citation,citation,citation
227,ICNet-README.md, Questions,faq,
228,neural_renderer-README.md, Neural 3D Mesh Renderer (CVPR 2018),long_title,
229,neural_renderer-README.md, For PyTorch users,,
230,neural_renderer-README.md, Installation,install,install
231,neural_renderer-README.md, Running examples,usage,run;usage
232,neural_renderer-README.md, Example 1: Drawing an object from multiple viewpoints,usage,usage
233,neural_renderer-README.md, Example 2: Optimizing vertices,usage,usage
234,neural_renderer-README.md, Example 3: Optimizing textures,usage,usage
235,neural_renderer-README.md, Example 4: Finding camera parameters,usage,usage
236,neural_renderer-README.md, CPU implementation?,,
237,neural_renderer-README.md, Python3 support?,support,support
238,neural_renderer-README.md, Citation,citation,citation
239,harismuneer-Ultimate-Facebook-Scraper-README.md, 🔥 Ultimate Facebook Scrapper ,long_title,
240,harismuneer-Ultimate-Facebook-Scraper-README.md, Note,,
241,harismuneer-Ultimate-Facebook-Scraper-README.md, Sample,usage,
242,harismuneer-Ultimate-Facebook-Scraper-README.md, Screenshot,,
243,harismuneer-Ultimate-Facebook-Scraper-README.md, Installation,install,install
244,harismuneer-Ultimate-Facebook-Scraper-README.md, How to Run,run,run
245,harismuneer-Ultimate-Facebook-Scraper-README.md, Citation,citation,citation
246,harismuneer-Ultimate-Facebook-Scraper-README.md, Important Message,,
247,harismuneer-Ultimate-Facebook-Scraper-README.md, Authors,,
248,harismuneer-Ultimate-Facebook-Scraper-README.md, Haris Muneer,,
249,harismuneer-Ultimate-Facebook-Scraper-README.md, Hassaan Elahi,,
250,harismuneer-Ultimate-Facebook-Scraper-README.md, Contributions Welcome,,
251,harismuneer-Ultimate-Facebook-Scraper-README.md, Issues,,
252,harismuneer-Ultimate-Facebook-Scraper-README.md, License,license,license
253,geonotebook-README.md, GeoNotebook [![CircleCI](https://circleci.com/gh/OpenGeoscience/geonotebook.svg?style=shield)](https://circleci.com/gh/OpenGeoscience/geonotebook) [![Gitter chat](https://badges.gitter.im/gitterHQ/gitter.png)](https://gitter.im/OpenGeoscience/geonotebook),,
254,geonotebook-README.md, Screenshots,,
255,geonotebook-README.md, System Prerequisites,requirements,requirements
256,geonotebook-README.md, Clone the repo:,,
257,geonotebook-README.md," Make a virtualenv, install jupyter[notebook], install geonotebook",install,install
258,geonotebook-README.md, Installing geonotebook for development,install,install
259,geonotebook-README.md, Run the notebook:,run,run
260,geonotebook-README.md, Configure the notebook:,usage,
261,geonotebook-README.md, Run the tests,run,run
262,geonotebook-README.md, Docker Container,,
263,geonotebook-README.md, Vagrant Machine,,
264,geonotebook-README.md, Tile Server,,
265,geonotebook-README.md, Use geoserver for tile serving,,usage
266,gitbucket-gitbucket-README.md, 4.31.2 - 7 Apr 2019,,
267,gitbucket-gitbucket-README.md, 4.31.1 - 17 Mar 2019,,
268,gitbucket-gitbucket-README.md, 4.31.0 - 17 Mar 2019,,
269,gprMax-README.md,"What is gprMax?
",,
270,gprMax-README.md,"Using gprMax? Cite us
",citation,citation
271,gprMax-README.md,"Package overview
",,
272,gprMax-README.md,"Installation
",install,install
273,gprMax-README.md,"1. Install Python, required Python packages, and get gprMax source
",install,install;usage
274,gprMax-README.md,"2. Install a C compiler which supports OpenMP
",install,install;support
275,gprMax-README.md,"3. Build and install gprMax
",install,install
276,gprMax-README.md,"Running gprMax
",run,run
277,gprMax-README.md,"Optional command line arguments
",run,
278,gprMax-README.md,"Updating gprMax
",,
279,gprMax-README.md,"Updating conda and Python packages
",,
280,kosmtik-README.md, Kosmtik,,
281,kosmtik-README.md, Lite,,
282,kosmtik-README.md, Screenshot,,
283,kosmtik-README.md, Install or Update,install,install
284,kosmtik-README.md, Usage,usage,usage
285,kosmtik-README.md, Configuration file,usage,
286,kosmtik-README.md, Local config,usage,
287,kosmtik-README.md, Example of a json file,usage,usage
288,kosmtik-README.md, Example of a js module,usage,usage
289,kosmtik-README.md, Custom renderers,,
290,kosmtik-README.md, Known plugins,,
291,tilematrix-README.md,"Tilematrix
",,
292,tilematrix-README.md,"Installation
",install,install
293,tilematrix-README.md,"Documentation
",documentation,documentation
294,tilematrix-README.md,"CLI
",usage,
295,tilematrix-README.md,"License
",license,license
296,gitfolio-README.md, Gitfolio  [![Tweet](https://img.shields.io/twitter/url/https/shields.io.svg?style=social)](https://twitter.com/intent/tweet?text=personal%20website%20and%20a%20blog%20for%20every%20github%20user%20&url=https://github.com/imfunniee/gitfolio) ![GitHub release](https://img.shields.io/github/release/imfunniee/gitfolio.svg?style=popout-square) ![npm](https://img.shields.io/npm/dm/gitfolio.svg?style=popout-square) ![GitHub top language](https://img.shields.io/github/languages/top/imfunniee/gitfolio.svg?style=popout-square) ![GitHub last commit](https://img.shields.io/github/last-commit/imfunniee/gitfolio.svg?style=popout-square) ![GitHub](https://img.shields.io/github/license/imfunniee/gitfolio.svg?style=popout-square),,
297,gitfolio-README.md, personal website + blog  for every github user,,
298,gitfolio-README.md, Let's Install,install,install
299,gitfolio-README.md, Let's Build,install,
300,gitfolio-README.md, Forks,,
301,gitfolio-README.md, Sorting Repos,,
302,gitfolio-README.md, Ordering Repos,,
303,gitfolio-README.md, Customize Themes,,
304,gitfolio-README.md, Customize background image,,
305,gitfolio-README.md, Let's Publish,,
306,gitfolio-README.md, Updating,,
307,gitfolio-README.md, Add a Blog,,
308,gitfolio-README.md, License,license,license
309,two-stream-dyntex-synth-README.md, Two-Stream Convolutional Networks for Dynamic Texture Synthesis,,
310,two-stream-dyntex-synth-README.md, Requirements,requirements,requirements
311,two-stream-dyntex-synth-README.md, Setup,install,install
312,two-stream-dyntex-synth-README.md, Dynamic texture synthesis,,
313,two-stream-dyntex-synth-README.md, Example usage,usage,usage
314,two-stream-dyntex-synth-README.md, Dynamics style transfer,,
315,two-stream-dyntex-synth-README.md, Example usage,usage,usage
316,two-stream-dyntex-synth-README.md, Temporally-endless dynamic texture synthesis,,
317,two-stream-dyntex-synth-README.md, Incremental dynamic texture synthesis,,
318,two-stream-dyntex-synth-README.md, Static texture synthesis,,
319,two-stream-dyntex-synth-README.md, Notes,usage,
320,two-stream-dyntex-synth-README.md, Citation,citation,citation
321,two-stream-dyntex-synth-README.md, License,license,license
322,PRM-README.md, PyTorch Implementation,,
323,PRM-README.md, Prerequisites,requirements,requirements
324,PRM-README.md, Installation,install,install
325,PRM-README.md, Run demo,run;usage,run;usage
326,PRM-README.md, Citation ,citation,citation
327,tippecanoe-README.md," Linear features (world railroads), visible at all zoom levels",,
328,tippecanoe-README.md," Discontinuous polygon features (buildings of Rhode Island), visible at all zoom levels",,
329,tippecanoe-README.md," Continuous polygon features (states and provinces), visible at all zoom levels",,
330,tippecanoe-README.md," Large point dataset (GPS bus locations), for visualization at all zoom levels",,
331,tippecanoe-README.md," Clustered points (world cities), summing the clustered population, visible at all zoom levels",,
332,tippecanoe-README.md, Show countries at low zoom levels but states at higher zoom levels,,usage
333,tippecanoe-README.md, Represent multiple sources (Illinois and Indiana counties) as separate layers,,
334,tippecanoe-README.md, Merge multiple sources (Illinois and Indiana counties) into the same layer,,
335,tippecanoe-README.md, Selectively remove and replace features (Census tracts) to update a tileset,,
336,tippecanoe-README.md, Output tileset,,
337,tippecanoe-README.md, Tileset description and attribution,,description
338,tippecanoe-README.md, Input files and layer names,,
339,tippecanoe-README.md, Parallel processing of input,usage,
340,tippecanoe-README.md, Projection of input,,
341,tippecanoe-README.md, Zoom levels,,
342,tippecanoe-README.md, Tile resolution,,
343,tippecanoe-README.md, Filtering feature attributes,usage,
344,tippecanoe-README.md, Modifying feature attributes,,
345,tippecanoe-README.md, Filtering features by attributes,,
346,tippecanoe-README.md, Dropping a fixed fraction of features by zoom level,,install
347,tippecanoe-README.md, Dropping a fraction of features to keep under tile size limits,,
348,tippecanoe-README.md, Dropping tightly overlapping features,,
349,tippecanoe-README.md, Line and polygon simplification,,
350,tippecanoe-README.md, Attempts to improve shared polygon boundaries,,
351,tippecanoe-README.md, Controlling clipping to tile boundaries,,
352,tippecanoe-README.md, Reordering features within each tile,,
353,tippecanoe-README.md, Adding calculated attributes,,
354,tippecanoe-README.md, Trying to correct bad source geometry,,
355,tippecanoe-README.md, Setting or disabling tile size limits,,install
356,tippecanoe-README.md, Temporary storage,,
357,tippecanoe-README.md, Progress indicator,,
358,tippecanoe-README.md, Filters,,
359,tippecanoe-README.md, Examples:,usage,usage
360,tippecanoe-README.md, Output tileset,,
361,tippecanoe-README.md, Tileset description and attribution,,description
362,tippecanoe-README.md, Layer filtering and naming,,
363,tippecanoe-README.md, Zoom levels,,
364,tippecanoe-README.md, Merging attributes from a CSV file,,
365,tippecanoe-README.md, Filtering features and feature attributes,,
366,tippecanoe-README.md, Setting or disabling tile size limits,,install
367,tippecanoe-README.md, Options,,
368,tippecanoe-README.md, Options,,
369,tippecanoe-README.md, Example,usage,usage
370,facebookresearch-ResNeXt-README.md, ResNeXt: Aggregated Residual Transformations for Deep Neural Networks,long_title,
371,facebookresearch-ResNeXt-README.md, Table of Contents,,
372,facebookresearch-ResNeXt-README.md, News,,
373,facebookresearch-ResNeXt-README.md, Introduction,description,description
374,facebookresearch-ResNeXt-README.md," Figure: Training curves on ImageNet-1K. (Left): ResNet/ResNeXt-50 with the same complexity (~4.1 billion FLOPs, ~25 million parameters); (Right): ResNet/ResNeXt-101 with the same complexity (~7.8 billion FLOPs, ~44 million parameters).",,
375,facebookresearch-ResNeXt-README.md, Citation,citation,citation
376,facebookresearch-ResNeXt-README.md, Requirements and Dependencies,requirements,requirements
377,facebookresearch-ResNeXt-README.md, Training,,
378,facebookresearch-ResNeXt-README.md, 1x Complexity Configurations Reference Table,,citation
379,facebookresearch-ResNeXt-README.md, ImageNet Pretrained Models,,
380,facebookresearch-ResNeXt-README.md, Single-crop (224x224) validation error rate,,faq
381,facebookresearch-ResNeXt-README.md, Third-party re-implementations,,
382,mapshaper-README.md, Introduction,description,description
383,mapshaper-README.md, Command line tool,usage,
384,mapshaper-README.md, Interactive web interface,,
385,mapshaper-README.md, Large file support,,support
386,mapshaper-README.md, run the command line program,run,run
387,mapshaper-README.md, use the web UI locally,,usage
388,mapshaper-README.md, Building and testing,install,
389,mapshaper-README.md, License,license,license
390,mapshaper-README.md, Acknowledgements,ack,ack
391,reduxjs-react-redux-README.md, Installation,install,install
392,reduxjs-react-redux-README.md, React Native,,
393,reduxjs-react-redux-README.md, Documentation,documentation,documentation
394,reduxjs-react-redux-README.md, How Does It Work?,,
395,reduxjs-react-redux-README.md, License,license,license
396,pysal-README.md,"Python Spatial Analysis Library
",long_title,
397,pysal-README.md,"PySAL Components
",,
398,pysal-README.md,"Installation
",install,install
399,pysal-README.md,"Documentation
",documentation,documentation
400,pysal-README.md,"Development
",,
401,pysal-README.md,"Getting Involved
",contribute,usage
402,pysal-README.md,"Bug reports
",,support
403,pysal-README.md,"License information
",license,license
404,vid2vid-README.md, [Project](https://tcwang0509.github.io/vid2vid/) | [YouTube(short)](https://youtu.be/5zlcXTCpQqM) | [YouTube(full)](https://youtu.be/GrP_aOSXt5U) | [arXiv](https://arxiv.org/abs/1808.06601) | [Paper(full)](https://tcwang0509.github.io/vid2vid/paper_vid2vid.pdf),,
405,vid2vid-README.md, Video-to-Video Translation,long_title,
406,vid2vid-README.md, Prerequisites,requirements,requirements
407,vid2vid-README.md, Installation,install,install
408,vid2vid-README.md, Testing ,,
409,vid2vid-README.md, Dataset,,
410,vid2vid-README.md, Training with Cityscapes dataset,,
411,vid2vid-README.md, Training with face datasets,,
412,vid2vid-README.md, Training with pose datasets,,
413,vid2vid-README.md, Training with your own dataset,,
414,vid2vid-README.md, More Training/Test Details,,
415,vid2vid-README.md, Citation,citation,citation
416,vid2vid-README.md, Acknowledgments,ack,ack
417,scikit-learn-scikit-learn-README.md,"scikit-learn
",,
418,scikit-learn-scikit-learn-README.md,"Installation
",install,install
419,scikit-learn-scikit-learn-README.md,"Changelog
",,
420,scikit-learn-scikit-learn-README.md,"Development
",,
421,scikit-learn-scikit-learn-README.md,"Project History
",,
422,scikit-learn-scikit-learn-README.md,"Help and Support
",support,support
423,mplstereonet-README.md,mplstereonet,,
424,mplstereonet-README.md,"Install
",install,install
425,mplstereonet-README.md,Basic Usage,usage,usage
426,mplstereonet-README.md,Density Contouring,,
427,mplstereonet-README.md,Utilities,,
428,mplstereonet-README.md,"References
",,citation
429,gdal-docker-README.md, GDAL Docker Images,,
430,gdal-docker-README.md, Usage,usage,usage
431,RDN-README.md, Residual Dense Network for Image Super-Resolution,,
432,RDN-README.md, Contents,,
433,RDN-README.md, Introduction,description,description
434,RDN-README.md, Prepare training data ,,install
435,RDN-README.md, Begin to train,,usage
436,RDN-README.md, Quick start,,usage
437,RDN-README.md, The whole test pipeline,,
438,RDN-README.md, Results,,
439,RDN-README.md, Citation,citation,citation
440,RDN-README.md, Acknowledgements,ack,ack
441,pyansys-README.md, create a square area using keypoints,,
442,pyansys-README.md, Sample *.cdb,,
443,pyansys-README.md, Read ansys archive file,,
444,pyansys-README.md, Print raw data from cdb,,
445,pyansys-README.md, Create a vtk unstructured grid from the raw data and plot it,,
446,pyansys-README.md, write this as a vtk xml file ,,
447,pyansys-README.md, Load this from vtk,,
448,pyansys-README.md, Load the reader from pyansys,,
449,pyansys-README.md, Sample result file,,
450,pyansys-README.md, Create result object by loading the result file,,
451,pyansys-README.md, Beam natural frequencies,,
452,pyansys-README.md, Get the 1st bending mode shape.  Results are ordered based on the sorted ,,usage
453,pyansys-README.md, node numbering.  Note that results are zero indexed,,
454,pyansys-README.md, Plot the displacement of Mode 0 in the x direction,,
455,pyansys-README.md, Display node averaged stress in x direction for result 6,,
456,pyansys-README.md, Load the reader from pyansys,,
457,pyansys-README.md, load the full file,,
458,pyansys-README.md, returns upper triangle only,,
459,pyansys-README.md," make k, m full, symmetric matricies",,
460,pyansys-README.md, condition the k matrix,,
461,pyansys-README.md," to avoid getting the ""Factor is exactly singular"" error",,usage;faq
462,pyansys-README.md, Solve,,
463,pyansys-README.md, System natural frequencies,,
464,rasterio-README.md, Read raster bands directly to Numpy arrays.,,
465,rasterio-README.md, Combine arrays in place. Expecting that the sum will,,
466,rasterio-README.md," temporarily exceed the 8-bit integer range, initialize it as",,
467,rasterio-README.md, a 64-bit float (the numpy default) array. Adding other,,
468,rasterio-README.md," arrays to it in-place converts those arrays ""up"" and",,
469,rasterio-README.md, preserves the type of the total array.,,
470,rasterio-README.md, Write the product as a raster band to a new 8-bit file. For,,
471,rasterio-README.md," the new file's profile, we start with the meta attributes of",,usage
472,rasterio-README.md," the source file, but then change the band count to 1, set the",,install
473,rasterio-README.md," dtype to uint8, and specify LZW compression.",,
474,rasterio-README.md, Printed:,,
475,rasterio-README.md," (791, 718)",,
476,rasterio-README.md," {u'units': u'm', u'no_defs': True, u'ellps': u'WGS84', u'proj': u'utm', u'zone': 18}",,
477,rasterio-README.md," Affine(300.0379266750948, 0.0, 101985.0,",,
478,rasterio-README.md,"        0.0, -300.041782729805, 2826915.0)",,
479,rasterio-README.md,3,,
480,rasterio-README.md," [1, 2, 3]",,
481,rasterio-README.md, Printed:,,
482,rasterio-README.md," ((100, 200), (100, 200))",,
483,tilelive-mapnik-README.md, tilelive-mapnik,,
484,tilelive-mapnik-README.md, Installation,install,install
485,tilelive-mapnik-README.md, Usage,usage,usage
486,neural-motifs-README.md," Like this work, or scene understanding in general? You might be interested in checking out my brand new dataset VCR: Visual Commonsense Reasoning, at [visualcommonsense.com](https://visualcommonsense.com)!",,
487,neural-motifs-README.md, Bibtex,citation,
488,neural-motifs-README.md, Setup,install,install
489,neural-motifs-README.md, help,support,support
490,map-vectorizer-README.md, An NYPL Labs project,,
491,map-vectorizer-README.md, Like OCR for maps,,
492,map-vectorizer-README.md, Example input,,usage
493,map-vectorizer-README.md, Example output,,usage
494,map-vectorizer-README.md, Extra feature detection,,
495,map-vectorizer-README.md, Dependencies,requirements,requirements
