Repo,Header,Label
sg2im-README.md, (Optional): GraphViz,
sg2im-README.md, Training new models,
pyvista-README.md,"Highlights
",
pyvista-README.md,"Overview of Features
",description
pyvista-README.md,"Documentation
",documentation
pyvista-README.md,"Installation
",install
pyvista-README.md,"Connections
",
pyvista-README.md,"Authors
",
pyvista-README.md,"Contributing
",contribute
pyvista-README.md,"Citing PyVista
",citation
ICNet-README.md, ICNet for Real-Time Semantic Segmentation on High-Resolution Images,long_title
ICNet-README.md, Introduction,description
ICNet-README.md, Usage,usage
ICNet-README.md, Citation,citation
ICNet-README.md, Questions,faq
neural_renderer-README.md, Neural 3D Mesh Renderer (CVPR 2018),long_title
neural_renderer-README.md, For PyTorch users,
neural_renderer-README.md, Installation,install
neural_renderer-README.md, Running examples,usage
neural_renderer-README.md, Example 1: Drawing an object from multiple viewpoints,usage
neural_renderer-README.md, Example 2: Optimizing vertices,usage
neural_renderer-README.md, Example 3: Optimizing textures,usage
neural_renderer-README.md, Example 4: Finding camera parameters,usage
neural_renderer-README.md, CPU implementation?,
neural_renderer-README.md, Python3 support?,support
neural_renderer-README.md, Citation,citation
harismuneer-Ultimate-Facebook-Scraper-README.md, 🔥 Ultimate Facebook Scrapper ,long_title
harismuneer-Ultimate-Facebook-Scraper-README.md, Note,
harismuneer-Ultimate-Facebook-Scraper-README.md, Sample,usage
harismuneer-Ultimate-Facebook-Scraper-README.md, Screenshot,
harismuneer-Ultimate-Facebook-Scraper-README.md, Installation,install
harismuneer-Ultimate-Facebook-Scraper-README.md, How to Run,run
harismuneer-Ultimate-Facebook-Scraper-README.md, Citation,citation
harismuneer-Ultimate-Facebook-Scraper-README.md, Important Message,
harismuneer-Ultimate-Facebook-Scraper-README.md, Authors,
harismuneer-Ultimate-Facebook-Scraper-README.md, Haris Muneer,
harismuneer-Ultimate-Facebook-Scraper-README.md, Hassaan Elahi,
harismuneer-Ultimate-Facebook-Scraper-README.md, Contributions Welcome,
harismuneer-Ultimate-Facebook-Scraper-README.md, Issues,
harismuneer-Ultimate-Facebook-Scraper-README.md, License,license
geonotebook-README.md, GeoNotebook [![CircleCI](https://circleci.com/gh/OpenGeoscience/geonotebook.svg?style=shield)](https://circleci.com/gh/OpenGeoscience/geonotebook) [![Gitter chat](https://badges.gitter.im/gitterHQ/gitter.png)](https://gitter.im/OpenGeoscience/geonotebook),
geonotebook-README.md, Screenshots,
geonotebook-README.md, System Prerequisites,requirements
geonotebook-README.md, Clone the repo:,
geonotebook-README.md," Make a virtualenv, install jupyter[notebook], install geonotebook",install
geonotebook-README.md, Installing geonotebook for development,install
geonotebook-README.md, Run the notebook:,run
geonotebook-README.md, Configure the notebook:,usage
geonotebook-README.md, Run the tests,run
geonotebook-README.md, Docker Container,
geonotebook-README.md, Vagrant Machine,
geonotebook-README.md, Tile Server,
geonotebook-README.md, Use geoserver for tile serving,
gitbucket-gitbucket-README.md, 4.31.2 - 7 Apr 2019,
gitbucket-gitbucket-README.md, 4.31.1 - 17 Mar 2019,
gitbucket-gitbucket-README.md, 4.31.0 - 17 Mar 2019,
gprMax-README.md,"What is gprMax?
",
gprMax-README.md,"Using gprMax? Cite us
",citation
gprMax-README.md,"Package overview
",
gprMax-README.md,"Installation
",install
gprMax-README.md,"1. Install Python, required Python packages, and get gprMax source
",install
gprMax-README.md,"2. Install a C compiler which supports OpenMP
",install
gprMax-README.md,"3. Build and install gprMax
",install
gprMax-README.md,"Running gprMax
",run
gprMax-README.md,"Optional command line arguments
",run
gprMax-README.md,"Updating gprMax
",
gprMax-README.md,"Updating conda and Python packages
",
kosmtik-README.md, Kosmtik,
kosmtik-README.md, Lite,
kosmtik-README.md, Screenshot,
kosmtik-README.md, Install or Update,install
kosmtik-README.md, Usage,usage
kosmtik-README.md, Configuration file,usage
kosmtik-README.md, Local config,usage
kosmtik-README.md, Example of a json file,usage
kosmtik-README.md, Example of a js module,usage
kosmtik-README.md, Custom renderers,
kosmtik-README.md, Known plugins,
tilematrix-README.md,"Tilematrix
",
tilematrix-README.md,"Installation
",install
tilematrix-README.md,"Documentation
",documentation
tilematrix-README.md,"CLI
",usage
tilematrix-README.md,"License
",license
gitfolio-README.md, Gitfolio  [![Tweet](https://img.shields.io/twitter/url/https/shields.io.svg?style=social)](https://twitter.com/intent/tweet?text=personal%20website%20and%20a%20blog%20for%20every%20github%20user%20&url=https://github.com/imfunniee/gitfolio) ![GitHub release](https://img.shields.io/github/release/imfunniee/gitfolio.svg?style=popout-square) ![npm](https://img.shields.io/npm/dm/gitfolio.svg?style=popout-square) ![GitHub top language](https://img.shields.io/github/languages/top/imfunniee/gitfolio.svg?style=popout-square) ![GitHub last commit](https://img.shields.io/github/last-commit/imfunniee/gitfolio.svg?style=popout-square) ![GitHub](https://img.shields.io/github/license/imfunniee/gitfolio.svg?style=popout-square),
gitfolio-README.md, personal website + blog  for every github user,
gitfolio-README.md, Let's Install,install
gitfolio-README.md, Let's Build,install
gitfolio-README.md, Forks,
gitfolio-README.md, Sorting Repos,
gitfolio-README.md, Ordering Repos,
gitfolio-README.md, Customize Themes,
gitfolio-README.md, Customize background image,
gitfolio-README.md, Let's Publish,
gitfolio-README.md, Updating,
gitfolio-README.md, Add a Blog,
gitfolio-README.md, License,license
two-stream-dyntex-synth-README.md, Two-Stream Convolutional Networks for Dynamic Texture Synthesis,
two-stream-dyntex-synth-README.md, Requirements,requirements
two-stream-dyntex-synth-README.md, Setup,install
two-stream-dyntex-synth-README.md, Dynamic texture synthesis,
two-stream-dyntex-synth-README.md, Example usage,usage
two-stream-dyntex-synth-README.md, Dynamics style transfer,
two-stream-dyntex-synth-README.md, Example usage,usage
two-stream-dyntex-synth-README.md, Temporally-endless dynamic texture synthesis,
two-stream-dyntex-synth-README.md, Incremental dynamic texture synthesis,
two-stream-dyntex-synth-README.md, Static texture synthesis,
two-stream-dyntex-synth-README.md, Notes,usage
two-stream-dyntex-synth-README.md, Citation,citation
two-stream-dyntex-synth-README.md, License,license
PRM-README.md, PyTorch Implementation,
PRM-README.md, Prerequisites,requirements
PRM-README.md, Installation,install
PRM-README.md, Run demo,run;usage
PRM-README.md, Citation ,citation
tippecanoe-README.md," Linear features (world railroads), visible at all zoom levels",
tippecanoe-README.md," Discontinuous polygon features (buildings of Rhode Island), visible at all zoom levels",
tippecanoe-README.md," Continuous polygon features (states and provinces), visible at all zoom levels",
tippecanoe-README.md," Large point dataset (GPS bus locations), for visualization at all zoom levels",
tippecanoe-README.md," Clustered points (world cities), summing the clustered population, visible at all zoom levels",
tippecanoe-README.md, Show countries at low zoom levels but states at higher zoom levels,
tippecanoe-README.md, Represent multiple sources (Illinois and Indiana counties) as separate layers,
tippecanoe-README.md, Merge multiple sources (Illinois and Indiana counties) into the same layer,
tippecanoe-README.md, Selectively remove and replace features (Census tracts) to update a tileset,
tippecanoe-README.md, Output tileset,
tippecanoe-README.md, Tileset description and attribution,
tippecanoe-README.md, Input files and layer names,
tippecanoe-README.md, Parallel processing of input,usage
tippecanoe-README.md, Projection of input,
tippecanoe-README.md, Zoom levels,
tippecanoe-README.md, Tile resolution,
tippecanoe-README.md, Filtering feature attributes,usage
tippecanoe-README.md, Modifying feature attributes,
tippecanoe-README.md, Filtering features by attributes,
tippecanoe-README.md, Dropping a fixed fraction of features by zoom level,
tippecanoe-README.md, Dropping a fraction of features to keep under tile size limits,
tippecanoe-README.md, Dropping tightly overlapping features,
tippecanoe-README.md, Line and polygon simplification,
tippecanoe-README.md, Attempts to improve shared polygon boundaries,
tippecanoe-README.md, Controlling clipping to tile boundaries,
tippecanoe-README.md, Reordering features within each tile,
tippecanoe-README.md, Adding calculated attributes,
tippecanoe-README.md, Trying to correct bad source geometry,
tippecanoe-README.md, Setting or disabling tile size limits,
tippecanoe-README.md, Temporary storage,
tippecanoe-README.md, Progress indicator,
tippecanoe-README.md, Filters,
tippecanoe-README.md, Examples:,usage
tippecanoe-README.md, Output tileset,
tippecanoe-README.md, Tileset description and attribution,
tippecanoe-README.md, Layer filtering and naming,
tippecanoe-README.md, Zoom levels,
tippecanoe-README.md, Merging attributes from a CSV file,
tippecanoe-README.md, Filtering features and feature attributes,
tippecanoe-README.md, Setting or disabling tile size limits,
tippecanoe-README.md, Options,
tippecanoe-README.md, Options,
tippecanoe-README.md, Example,usage
facebookresearch-ResNeXt-README.md, ResNeXt: Aggregated Residual Transformations for Deep Neural Networks,long_title
facebookresearch-ResNeXt-README.md, Table of Contents,
facebookresearch-ResNeXt-README.md, News,
facebookresearch-ResNeXt-README.md, Introduction,description
facebookresearch-ResNeXt-README.md," Figure: Training curves on ImageNet-1K. (Left): ResNet/ResNeXt-50 with the same complexity (~4.1 billion FLOPs, ~25 million parameters); (Right): ResNet/ResNeXt-101 with the same complexity (~7.8 billion FLOPs, ~44 million parameters).",
facebookresearch-ResNeXt-README.md, Citation,citation
facebookresearch-ResNeXt-README.md, Requirements and Dependencies,requirements
facebookresearch-ResNeXt-README.md, Training,
facebookresearch-ResNeXt-README.md, 1x Complexity Configurations Reference Table,
facebookresearch-ResNeXt-README.md, ImageNet Pretrained Models,
facebookresearch-ResNeXt-README.md, Single-crop (224x224) validation error rate,
facebookresearch-ResNeXt-README.md, Third-party re-implementations,
mapshaper-README.md, Introduction,description
mapshaper-README.md, Command line tool,usage
mapshaper-README.md, Interactive web interface,
mapshaper-README.md, Large file support,
mapshaper-README.md, run the command line program,run
mapshaper-README.md, use the web UI locally,
mapshaper-README.md, Building and testing,install
mapshaper-README.md, License,license
mapshaper-README.md, Acknowledgements,ack
reduxjs-react-redux-README.md, Installation,install
reduxjs-react-redux-README.md, React Native,
reduxjs-react-redux-README.md, Documentation,documentation
reduxjs-react-redux-README.md, How Does It Work?,
reduxjs-react-redux-README.md, License,license
pysal-README.md,"Python Spatial Analysis Library
",long_title
pysal-README.md,"PySAL Components
",
pysal-README.md,"Installation
",install
pysal-README.md,"Documentation
",documentation
pysal-README.md,"Development
",
pysal-README.md,"Getting Involved
",contribute
pysal-README.md,"Bug reports
",
pysal-README.md,"License information
",license
vid2vid-README.md, [Project](https://tcwang0509.github.io/vid2vid/) | [YouTube(short)](https://youtu.be/5zlcXTCpQqM) | [YouTube(full)](https://youtu.be/GrP_aOSXt5U) | [arXiv](https://arxiv.org/abs/1808.06601) | [Paper(full)](https://tcwang0509.github.io/vid2vid/paper_vid2vid.pdf),
vid2vid-README.md, Video-to-Video Translation,long_title
vid2vid-README.md, Prerequisites,requirements
vid2vid-README.md, Installation,install
vid2vid-README.md, Testing ,
vid2vid-README.md, Dataset,
vid2vid-README.md, Training with Cityscapes dataset,
vid2vid-README.md, Training with face datasets,
vid2vid-README.md, Training with pose datasets,
vid2vid-README.md, Training with your own dataset,
vid2vid-README.md, More Training/Test Details,
vid2vid-README.md, Citation,citation
vid2vid-README.md, Acknowledgments,ack
scikit-learn-scikit-learn-README.md,"scikit-learn
",
scikit-learn-scikit-learn-README.md,"Installation
",install
scikit-learn-scikit-learn-README.md,"Changelog
",
scikit-learn-scikit-learn-README.md,"Development
",
scikit-learn-scikit-learn-README.md,"Project History
",
scikit-learn-scikit-learn-README.md,"Help and Support
",support
mplstereonet-README.md,mplstereonet,
mplstereonet-README.md,"Install
",install
mplstereonet-README.md,Basic Usage,usage
mplstereonet-README.md,Density Contouring,
mplstereonet-README.md,Utilities,
mplstereonet-README.md,"References
",
gdal-docker-README.md, GDAL Docker Images,
gdal-docker-README.md, Usage,usage
RDN-README.md, Residual Dense Network for Image Super-Resolution,
RDN-README.md, Contents,
RDN-README.md, Introduction,description
RDN-README.md, Prepare training data ,
RDN-README.md, Begin to train,
RDN-README.md, Quick start,
RDN-README.md, The whole test pipeline,
RDN-README.md, Results,
RDN-README.md, Citation,citation
RDN-README.md, Acknowledgements,ack
pyansys-README.md, create a square area using keypoints,
pyansys-README.md, Sample *.cdb,
pyansys-README.md, Read ansys archive file,
pyansys-README.md, Print raw data from cdb,
pyansys-README.md, Create a vtk unstructured grid from the raw data and plot it,
pyansys-README.md, write this as a vtk xml file ,
pyansys-README.md, Load this from vtk,
pyansys-README.md, Load the reader from pyansys,
pyansys-README.md, Sample result file,
pyansys-README.md, Create result object by loading the result file,
pyansys-README.md, Beam natural frequencies,
pyansys-README.md, Get the 1st bending mode shape.  Results are ordered based on the sorted ,
pyansys-README.md, node numbering.  Note that results are zero indexed,
pyansys-README.md, Plot the displacement of Mode 0 in the x direction,
pyansys-README.md, Display node averaged stress in x direction for result 6,
pyansys-README.md, Load the reader from pyansys,
pyansys-README.md, load the full file,
pyansys-README.md, returns upper triangle only,
pyansys-README.md," make k, m full, symmetric matricies",
pyansys-README.md, condition the k matrix,
pyansys-README.md," to avoid getting the ""Factor is exactly singular"" error",
pyansys-README.md, Solve,
pyansys-README.md, System natural frequencies,
rasterio-README.md, Read raster bands directly to Numpy arrays.,
rasterio-README.md, Combine arrays in place. Expecting that the sum will,
rasterio-README.md," temporarily exceed the 8-bit integer range, initialize it as",
rasterio-README.md, a 64-bit float (the numpy default) array. Adding other,
rasterio-README.md," arrays to it in-place converts those arrays ""up"" and",
rasterio-README.md, preserves the type of the total array.,
rasterio-README.md, Write the product as a raster band to a new 8-bit file. For,
rasterio-README.md," the new file's profile, we start with the meta attributes of",
rasterio-README.md," the source file, but then change the band count to 1, set the",
rasterio-README.md," dtype to uint8, and specify LZW compression.",
rasterio-README.md, Printed:,
rasterio-README.md," (791, 718)",
rasterio-README.md," {u'units': u'm', u'no_defs': True, u'ellps': u'WGS84', u'proj': u'utm', u'zone': 18}",
rasterio-README.md," Affine(300.0379266750948, 0.0, 101985.0,",
rasterio-README.md,"        0.0, -300.041782729805, 2826915.0)",
rasterio-README.md,3,
rasterio-README.md," [1, 2, 3]",
rasterio-README.md, Printed:,
rasterio-README.md," ((100, 200), (100, 200))",
tilelive-mapnik-README.md, tilelive-mapnik,
tilelive-mapnik-README.md, Installation,install
tilelive-mapnik-README.md, Usage,usage
neural-motifs-README.md," Like this work, or scene understanding in general? You might be interested in checking out my brand new dataset VCR: Visual Commonsense Reasoning, at [visualcommonsense.com](https://visualcommonsense.com)!",
neural-motifs-README.md, Bibtex,citation
neural-motifs-README.md, Setup,install
neural-motifs-README.md, help,support
map-vectorizer-README.md, An NYPL Labs project,
map-vectorizer-README.md, Like OCR for maps,
map-vectorizer-README.md, Example input,
map-vectorizer-README.md, Example output,
map-vectorizer-README.md, Extra feature detection,
map-vectorizer-README.md, Dependencies,requirements
map-vectorizer-README.md, First run,run
map-vectorizer-README.md, Configuring,usage
map-vectorizer-README.md, Required argument,requirements
map-vectorizer-README.md, Semi-optional arguments,usage
map-vectorizer-README.md, Optional arguments,usage
map-vectorizer-README.md, Customizing The Vectorizer to your own maps,
map-vectorizer-README.md, Templates and other files,
map-vectorizer-README.md, Other scripts,
map-vectorizer-README.md, Acknowledgements,ack
map-vectorizer-README.md, Change log,
microsoft-malmo-README.md, Malmö ,
microsoft-malmo-README.md, MalmoEnv ,
microsoft-malmo-README.md, Malmo as a native Python wheel ,
microsoft-malmo-README.md, Problems: ,
microsoft-malmo-README.md, Launching Minecraft with our Mod: ,usage
microsoft-malmo-README.md, Running a Python agent: ,run
microsoft-malmo-README.md, Running a C++ agent: ,run
microsoft-malmo-README.md, Running a C agent: ,run
microsoft-malmo-README.md, Running a Java agent: ,run
microsoft-malmo-README.md, Running an Atari agent: (Linux only) ,run
microsoft-malmo-README.md, Citations ,citation
microsoft-malmo-README.md, Code of Conduct ,
mplleaflet-README.md, mplleaflet,
mplleaflet-README.md, Basic usage,usage
mplleaflet-README.md, IPython Notebook embedding,
mplleaflet-README.md, Other examples,
mplleaflet-README.md, Why mplleaflet?,
mplleaflet-README.md, Installation,install
mplleaflet-README.md, Development,
mplleaflet-README.md, Dependencies,requirements
pose-residual-network-pytorch-README.md, Pose Residual Network,long_title
pose-residual-network-pytorch-README.md, Getting Started,usage
pose-residual-network-pytorch-README.md, Prerequisites,requirements
pose-residual-network-pytorch-README.md, Installing,install
pose-residual-network-pytorch-README.md, Training,
pose-residual-network-pytorch-README.md, Testing,
pose-residual-network-pytorch-README.md, Results,
pose-residual-network-pytorch-README.md, Citation,citation
react-README.md, [React](https://reactjs.org/) &middot; [![GitHub license](https://img.shields.io/badge/license-MIT-blue.svg)](https://github.com/facebook/react/blob/master/LICENSE) [![npm version](https://img.shields.io/npm/v/react.svg?style=flat)](https://www.npmjs.com/package/react) [![CircleCI Status](https://circleci.com/gh/facebook/react.svg?style=shield&circle-token=:circle-token)](https://circleci.com/gh/facebook/react) [![PRs Welcome](https://img.shields.io/badge/PRs-welcome-brightgreen.svg)](https://reactjs.org/docs/how-to-contribute.htmlyour-first-pull-request),
react-README.md, Installation,install
react-README.md, Documentation,documentation
react-README.md, Examples,usage
react-README.md, Contributing,contribute
react-README.md, [Code of Conduct](https://code.fb.com/codeofconduct),
react-README.md, [Contributing Guide](https://reactjs.org/contributing/how-to-contribute.html),contribute
react-README.md, Good First Issues,
react-README.md, License,license
da-faster-rcnn-README.md,  Domain Adaptive Faster R-CNN for Object Detection in the Wild ,long_title
da-faster-rcnn-README.md, Acknowledgment,ack
da-faster-rcnn-README.md, Usage,usage
da-faster-rcnn-README.md, Example,usage
da-faster-rcnn-README.md, Other Implementation,
DBNet-README.md, News!,
DBNet-README.md, Contents,
DBNet-README.md, Introduction,description
DBNet-README.md, Requirements,requirements
DBNet-README.md, Training,
DBNet-README.md, Evaluation    ,
DBNet-README.md, Prediction,
DBNet-README.md, Baseline,
DBNet-README.md, Contributors,contributor
DBNet-README.md, Citation,citation
DBNet-README.md, License,license
tensorflow-magenta-README.md, Getting Started,usage
tensorflow-magenta-README.md, Installation,install
tensorflow-magenta-README.md, Automated Install (w/ Anaconda),install
tensorflow-magenta-README.md, Manual Install (w/o Anaconda),install
tensorflow-magenta-README.md, GPU Installation,install
tensorflow-magenta-README.md, Using Magenta,usage
tensorflow-magenta-README.md, Playing a MIDI Instrument,
tensorflow-magenta-README.md, Development Environment,
tensorflow-magenta-README.md, PIP Release,
vue-README.md, What's the difference between Patreon and OpenCollective?,
vue-README.md, Introduction,description
